City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,belle fourche,44.6714,-103.8522,301.51,48,100,5.55,US
1,mount gambier,-37.8333,140.7667,283.3,60,95,4.92,AU
2,morant bay,17.8815,-76.4093,305.21,64,0,3.79,JM
3,yellowknife,62.456,-114.3525,286.44,58,75,3.09,CA
4,constantia,44.1833,28.65,291.53,82,39,2.5,RO
5,boguchany,58.3814,97.4531,278.73,78,97,2.76,RU
6,port-aux-francais,-49.35,70.2167,278.36,99,99,8.87,TF
7,saudarkrokur,65.7461,-19.6394,280.4,53,72,8.64,IS
8,lata,40.1629,-8.3327,296.99,59,8,2.73,PT
9,dongola,19.1667,30.4833,310.76,11,56,2.64,SD
10,fuglafjordur,62.244,-6.814,281.41,84,28,11.1,FO
11,prince george,53.9166,-122.753,293.29,59,20,3.6,CA
12,santa cruz,-17.8,-63.1667,303.85,61,75,11.83,BO
13,lubango,-14.9172,13.4925,288.74,55,0,1.64,AO
14,kodiak,57.79,-152.4072,279.88,70,40,0.0,US
15,broken hill,-31.95,141.4333,281.0,82,0,7.65,AU
16,north bend,43.4065,-124.2243,294.95,82,75,6.69,US
17,quellon,-43.1167,-73.6167,282.29,76,75,6.17,CL
18,lompoc,34.6391,-120.4579,294.14,69,40,4.63,US
19,puerto natales,-51.7236,-72.4875,277.4,81,40,2.57,CL
20,san antonio de pale,-1.4014,5.6325,299.52,87,100,6.42,GQ
21,lebu,-37.6167,-73.65,286.44,82,50,7.39,CL
22,luderitz,-26.6481,15.1594,285.82,88,0,3.52,NA
23,blackmans bay,-43.0167,147.3167,279.22,79,96,4.77,AU
24,waitangi,-43.9535,-176.5597,285.27,85,6,2.68,NZ
25,grytviken,-54.2811,-36.5092,273.38,91,95,1.97,GS
26,hawaiian paradise park,19.5933,-154.9731,296.5,91,100,1.54,US
27,avarua,-21.2078,-159.775,299.18,83,24,5.14,CK
28,yeppoon,-23.1333,150.7333,289.03,88,32,1.38,AU
29,mikuni,36.2171,136.1519,291.1,78,100,4.21,JP
30,weno,7.4515,151.8468,301.12,78,90,3.27,FM
31,tiksi,71.6872,128.8694,269.23,87,100,3.82,RU
32,taltal,-25.4,-70.4833,292.38,67,79,3.18,CL
33,hermanus,-34.4187,19.2345,282.48,75,33,7.95,ZA
34,isafjordur,66.0755,-23.124,280.17,61,75,3.09,IS
35,st. john's,47.5649,-52.7093,281.81,75,100,4.12,CA
36,puerto ayora,-0.7393,-90.3518,305.13,86,27,4.02,EC
37,adamstown,-25.066,-130.1015,296.37,71,44,2.65,PN
38,invercargill,-46.4,168.35,286.94,67,100,5.92,NZ
39,kuanda,56.3161,116.0806,276.5,99,100,1.42,RU
40,bredasdorp,-34.5322,20.0403,283.06,88,89,4.38,ZA
41,lihue,21.9789,-159.3672,297.79,80,75,7.2,US
42,utrik,11.2278,169.8474,300.92,78,100,9.21,MH
43,iskateley,67.6803,53.1512,291.01,79,92,9.02,RU
44,chonchi,-42.6128,-73.8092,281.71,89,100,2.56,CL
45,uturoa,-16.7333,-151.4333,300.39,73,30,5.5,PF
46,stanley,54.868,-1.6985,289.42,67,0,2.06,GB
47,mahina,-17.5065,-149.489,301.02,65,20,0.51,PF
48,ushuaia,-54.8,-68.3,277.94,75,40,8.23,AR
49,souillac,-20.5167,57.5167,296.54,84,100,6.04,MU
50,whitehorse,60.7161,-135.0538,288.04,48,75,4.47,CA
51,talnakh,69.4865,88.3972,274.38,97,100,3.12,RU
52,tluszcz,52.4306,21.4356,292.13,91,9,3.26,PL
53,wailua homesteads,22.0669,-159.378,297.45,79,75,7.2,US
54,punta arenas,-53.15,-70.9167,278.21,65,75,4.63,CL
55,bethel,41.3712,-73.414,293.25,49,0,4.63,US
56,buka,40.8108,69.1986,293.43,30,100,3.86,UZ
57,nadi,-17.8,177.4167,294.15,88,75,2.06,FJ
58,klyuchi,52.2667,79.1667,288.58,44,100,3.02,RU
59,margaret river,-33.95,115.0667,281.68,77,0,3.61,AU
60,olonkinbyen,70.9221,-8.7187,271.92,67,47,10.67,SJ
61,kone,-21.0595,164.8658,289.63,75,0,1.67,NC
62,port elizabeth,-33.918,25.5701,289.31,87,75,11.83,ZA
63,dudinka,69.4058,86.1778,274.61,95,100,4.25,RU
64,vorgashor,67.5833,63.95,285.87,77,86,4.61,RU
65,karratha,-20.7377,116.8463,293.33,24,0,5.68,AU
66,kapa'a,22.0752,-159.319,298.2,79,75,7.2,US
67,edinburgh of the seven seas,-37.0676,-12.3116,289.36,89,100,12.29,SH
68,albany,42.6001,-73.9662,291.44,44,6,1.79,US
69,arequipa,-16.3989,-71.535,291.19,27,0,4.63,PE
70,sisimiut,66.9395,-53.6735,273.67,82,91,3.5,GL
71,qaqortoq,60.7167,-46.0333,274.18,100,100,1.87,GL
72,pisco,-13.7,-76.2167,295.38,78,100,3.09,PE
73,fortuna,40.5982,-124.1573,286.66,94,0,4.12,US
74,tingo maria,-9.2895,-76.0088,302.32,61,20,2.06,PE
75,kapuskasing,49.4169,-82.4331,288.2,29,75,2.06,CA
76,petropavlovsk-kamchatsky,53.0452,158.6483,278.48,100,40,2.0,RU
77,iqaluit,63.7506,-68.5145,274.0,80,100,4.47,CA
78,colonia,50.9333,6.95,290.7,58,0,5.14,DE
